Poste Description,Niveau Étude
" Pour notre client leader sur le secteur des assurances, nous recrutons un ingénieur développement logiciel AS400, ayant un bon niveau de communication en français. Rattaché au chef de projet, et basé dans les locaux de notre client, à Casablanca Centre-ville, vous aurez pour mission principale de développer de nouvelles applications et fonctionnalités. Mission • Analyse des besoins techniques et fonctionnels • Rédaction des spécifications techniques et fonctionnelles • Réalisation des recettes et des tests unitaires afin d’assurer le fonctionnement des applicatifs • Corrections des bugs de production en respectant les bonnes pratiques de développement et les engagements du delivery • Amélioration continue des applications (performances, qualité de code, évolutions techniques…) • Maintenance des applications existantes",Bac+3
" Dans le cadre de la politique commerciale, services et de la politique qualité, le Conseiller Commercial Voiture d'Occasions accueille la clientèle, assure la promotion et la vente des véhicules, fidélise les clients et Entreprises afin de réaliser ses objectifs de vente. • Véhicule une image valorisante de M-Automotiv • Reçoit et conseille la clientèle sur les produits • Effectue de la prospection téléphonique à partir des fiches clients qui lui sont fournies. • Développe son portefeuille de clients et d’indicateurs d’affaires. • Assure la promotion et la vente des véhicules et services auprès des clients. • Fidélise sa clientèle. • Effectue la revue de contrat et signe le bon de commande. • Etablit les dossiers de financement des véhicules vendus. • Réalise un suivi du volume et de la rentabilité de ses ventes. • Suit régulièrement la disponibilité des véhicules. • S’implique dans la réalisation des objectifs du service. • Décèle les anomalies et les commente à son responsable. • Respecte les règles d’hygiène et de sécurité.",Bac+2
" Dans le cadre de notre développement continu, nous recrutons pour notre site basé à Salé des conseillers clients techniques pour un client local. Vous aurez pour mission : • Assurer le suivi et l’assistance technique des clients • Assurer un premier niveau d’intervention et escalader les demandes nécessitant une technicité supérieure • Respecter les délais contractualisés avec les clients",Bac+1
" Un package de rémunération attractif et d’autres avantages vous sont offerts Nous recrutons pour nos clients spécialisés des commerciaux ayant une expérience réussie en Télévente Vous êtes attiré(e) par le métier de la vente et vous disposez idéalement d'une expérience commerciale réussie de plus de 12 mois en Télévente Vous êtes en mesure de Construire et développer un portefeuille client tout en assurant la qualité du service Vous êtes reconnu(e) pour votre bon sens relationnel Vous avez l'esprit du challenge et du business Alors ce poste est fait pour vous. N’attendez plus et postulez maintenant Concentrix+Webhelp vous offre une stabilité professionnelle, un bon environnement et climat de travail, une très bonne rémunération et de belles opportunités d'évolution au sein d’une entreprise jeune et dynamique",Bac+2
" Persuasif dans l’âme et passionné par la négociation et la vente ? Rejoins une équipe de #GameChangers et fait valoir ton talent de conseiller commercial en représentant les plus grandes marques reconnues à l’échelle mondiale. Au sein d'une équipe dynamique, tu auras pour mission de : • Présenter et mettre en valeur les produits & services adaptés aux besoins de nos clients • Prospecter de nouveaux clients potentiels • Être force de proposition et de conviction • Garantir la satisfaction client par une relation de qualité contribuant ainsi à leur fidélisation • Contribuer à la réalisation des objectifs quantitatifs et qualitatifs. En rejoignant Webhelp tu bénéficieras de : Prime de bienvenue 1500 DH pour tout profil TLV recruté Des tarifs réduits pour des voyages, des spectacles de rire… Des animations thématiques tout au long de l’année, avec des cadeaux offerts aux participants Des conventions avec tarifs préférentiels dans différentes enseignes (magasins d’électroménager, agences de voyages, sites web e-commerce…) Possibilité d’intégrer l’association des salariés Webhelp NOTRASSO et de bénéficier de multiples avantages (réductions auprès des opérateurs télécoms, assurances, emprunts pour des occasions spéciales tel que Aid El Adha, Ramadan, rentrée scolaire…) Une assurance santé avec un taux de remboursement intéressant Eligibilité à la retraite complémentaire à compter d’un an d’ancienneté",Bac+1
" Nous recrutons des commerciaux pour notre site basé à Salé, tu auras pour mission de vendre et commercialiser des produit et/ou des services dans différents secteurs (assurance, télécoms, énergie…) En rejoignant Webhelp tu bénéficieras de : Une rémunération attractive + primes déplafonnées mais aussi, un panel d’autres avantages : Nous t’offrons un cadre de travail favorisant la promotion interne à travers des formations certifiées visant ta montée en compétence. 80% de nos managers ont été un jour des candidats. Des tarifs réduits pour des voyages, des spectacles de rire… Des animations thématiques tout au long de l’année, avec des cadeaux offerts aux participants Des conventions avec tarifs préférentiels dans différentes enseignes (magasins d’électroménager, agences de voyages, sites web e-commerce…) Possibilité d’intégrer l’association des salariés Webhelp NOTRASSO et de bénéficier de multiples avantages (réductions auprès des opérateurs télécoms, assurances, emprunts pour des occasions spéciales tel que Aid El Adha, Ramadan, rentrée scolaire…) Une assurance santé avec un taux de remboursement intéressant Eligibilité à la retraite complémentaire à compter d’un an d’ancienneté Que tu sois débutant ou expert, rejoins-nous avec ton tempérament commercial et ton sens du service, nous te transmettrons la connaissance de nos produits à travers des formations innovantes conçues dans une logique de parcours.",Bac+1
 Functiebeschrijving : In het kader van onze voortdurende ontwikkeling zijn we op zoek naar Nederlandstalige klantenadviseurs voor onze vestiging in Rabat.,Bac+1
" Como parte de nuestro continuo desarrollo, contratamos asesores de clientes de habla española en Rabat. Tendrás la misión de asesorar a los clientes y darles las respuestas adaptadas a sus necesidades.",Bac+1
" Dans le cadre de notre développement continu, nous recrutons des commerciaux pour notre site basé à Kénitra. Véritable acteur du développement du portefeuille client confié, tu auras pour mission de commercialiser des produit et/ou des services dans différents secteurs (télécoms, énergie, banque/assurance...) En rejoignant Webhelp tu bénéficieras : Des primes déplafonnées ; Un cadre de travail agréable favorisant la promotion interne à travers des formations certifiées visant ta montée en compétence. 80% de nos managers ont été un jour des candidats. Des tarifs réduits pour des voyages, des spectacles de rire… Des animations thématiques tout au long de l’année, avec des cadeaux offerts aux participants Des conventions avec tarifs préférentiels dans différentes enseignes (magasins d’électroménager, agences de voyages, sites web e-commerce…) Possibilité d’intégrer l’association des salariés Webhelp NOTRASSO et de bénéficier de multiples avantages (réductions auprès des opérateurs télécoms, assurances, emprunts pour des occasions spéciales tel que Aid El Adha, Ramadan, rentrée scolaire…) Une assurance santé avec un taux de remboursement intéressant Une prime spéciale « Aid El Adha » Eligibilité à la retraite complémentaire à compter d’un an d’ancienneté Que tu sois débutant ou expert, rejoins-nous avec ton tempérament commercial et ton sens du service, nous te transmettrons la connaissance de nos produits à travers des formations innovantes conçues dans une logique de parcours.",Bac+1
" Expérience dans la réception & le service client exigée. Descriptif du poste: Dans le cadre de notre développement continu, nous recrutons des conseillers clients à Casablanca pour un client marocain. Vous aurez pour mission de conseiller les clients et leur apporter les réponses adaptées à leurs besoins.",Bac+1
" Vous avez une expérience dans la gestion relation client, ce poste est pour vous ! Descriptif du poste: Dans le cadre de notre développement continu, nous recrutons des conseillers clients à Casablanca pour un client marocain. Vous aurez pour mission de conseiller les clients et leur apporter les réponses adaptées à leurs besoins.",Bac+1
" Dans le cadre de notre développement continu, nous recrutons pour notre site basé à Agadir des conseillers clients techniques Germano-Anglophones. Vous aurez pour mission : • Assurer le suivi et l’assistance technique des clients • Assurer un premier niveau d’intervention et escalader les demandes nécessitant une technicité supérieure • Respecter les délais contractualisés avec les clients",Bac+1
" Descripción : En el marco de nuestro desarrollo continuo, buscamos asesores de clientes francófonos y hispanohablantes para nuestra centro de Agadir. Su función consistirá en asesorar a los clientes y ofrecerles soluciones adaptadas a sus necesidades.",Bac+1
 La tua missione sarà quella di consigliare i clienti e fornire loro risposte su misura per le loro esigenze.,Bac+1
" Dans le cadre de notre développement continu, nous recrutons des conseillers clients franco-anglophones pour notre site basé à Agadir Vous aurez pour mission de conseiller les clients et de leur apporter les réponses adaptées à leurs besoins. Nous vous offrons une rémunération attractive dont une prime mensuelle langue et rendement et une formation adaptée pour vous accompagner dans la réussite de votre mission !",Bac+1
" Vous avez envie de rejoindre une société de plus de 10.000 collaborateurs ? Vous souhaitez développer une première expérience dans le tourisme/voyage et faire une carrière dans ce secteur en plein développement ? Vous avez envie de travailler dans un environnement jeune et dynamique ? Ce job est fait pour vous ! Rigoureux et passionnés par le travel, vous aurez pour mission de conseiller et aider les clients à choisir leurs destinations en vous basant sur votre savoir-faire. Postulez et rejoignez-nous pour une aventure professionnelle hors du commun !",Bac+1
" Commercialiser des produit et/ou des services dans différents secteurs (télécoms, énergie, banque/assurance...)",Bac+1
" Vous avez envie de rejoindre une société de plus de 10.000 collaborateurs ? Vous souhaitez développer une première expérience dans le tourisme/voyage et faire une carrière dans ce secteur en plein développement ? Vous avez envie de travailler dans un environnement jeune et dynamique ? Ce job est fait pour vous ! Mission : Rigoureux et passionnés par le travel, vous aurez pour mission de conseiller et aider les clients à choisir leurs destinations en vous basant sur votre savoir-faire. Postulez et rejoignez-nous pour une aventure professionnelle hors du commun !",Bac+1
" Un package de rémunération attractif et d’autres avantages vous sont offerts Nous recrutons pour nos clients spécialisés des commerciaux ayant une expérience réussie en Télévente Vous êtes attiré(e) par le métier de la vente et vous disposez idéalement d'une expérience commerciale réussie de plus de 12 mois en Télévente Vous êtes en mesure de Construire et développer un portefeuille client tout en assurant la qualité du service Vous êtes reconnu(e) pour votre bon sens relationnel Vous avez l'esprit du challenge et du business Alors ce poste est fait pour vous. N’attendez plus et postulez maintenant Concentrix+Webhelp vous offre une stabilité professionnelle, un bon environnement et climat de travail, une très bonne rémunération et de belles opportunités d'évolution au sein d’une entreprise jeune et dynamique",Bac+1
" Pour le poste de Gestionnaire sinistres AT et IA: Gestion de dossiers : • Traiter le courrier arrivé et assurer sa transmission aux compagnies et clients ; • Assurer les réclamations des documents nécessaires pour la bonne instruction de chaque dossier ; Renseigner Nawrass par toutes les informations ; • Assurer l’édition des quittances dans les délais fixés par le process gestion des sinistres AT ; • Assurer le suivi de la transaction amiable avec les compagnies. Gestion de la relation client : • Mettre, annuellement, à la disposition du client les PEC AT portant le cachet des compagnies d’assurances ; • Transmettre aux clients les listes actualisées des cliniques par compagnies d’assurances et les assister en cas de refus PEC par les cliniques, radiologues, pharmacies…etc. ; Suivi & reporting : • Mettre à la disposition des clients l’état d’avancement des dossiers AT • Assurer les rappels aux clients et compagnies à la réception de chaque document changeant le statut du dossier ; • Impliquer le chargé de compte pour tout client ne complétant pas ses dossiers 2. Pour le poste de Gestionnaire production AT,IARC: Gestion de dossiers : • Assurer la gestion et le traitement des contrats et avenants ; • Veiller au bon renouvellement du terme avec toutes les compagnies d’assurance ; • Réceptionner et vérifier la conformité des dossiers notamment en validant la conformité des pièces réceptionnées quant aux conditions de souscription du produit concerné ; • Faire les relances nécessaires pour obtenir les documents manquants. Gestion de la relation client : • Apporter une réponse appropriée au client ; • Renseigner et conseiller le client dans le contexte légal du produit concerné par la demande ; • Réceptionner la demande des clients par téléphone Suivi & Reporting : • Veiller au respect des procédures en vigueur et assurer un reporting régulier des dossiers en cours ; • Prendre contact avec les clients et les compagnies d’assurances pour faire le suivi de l’état d’avancement des dossiers en cours.",Bac+3
" Primary Responsibities The Order Management Coordinator is responsible for managing orders in Oracle from open to invoicing to ensure revenue is accounted for and within required time frames under conformity to the applicable internal controls and compliance requirements. Reporting LOB Manager (Line Of Business) Specific Responsibities Open / Update / Invoice Orders in Oracle Confirm data received from the branch and executing offices against the client contract and internal databases to verify that services are charged correctly and according to client instructions Monitors unbilled orders and works with the internal staff for timely resolution Review daily reports to ensure invoicing is turned around timely to reduce accruals and improve DSO and Bad Debt Answers inquiries about invoices from partners and clients Provide excellent customer service to internal and external clients Participates in special projects as required Adheres to internal standards, policies, and procedures Performs other duties as assigned Distribution of the invoices as per customer requirements Accounts Receivable Management: Monitor and tracking outstanding payments, Follow up with customers on overdue payments, send reminders, and initiate collection efforts to resolve outstanding issues Coordinate with procurement team and service suppliers using SGS Procurement Information portal Prepare invoice for analysis services in LIMS (Laboratory Information Management System)",Bac+5
" Dans le cadre du développement du Groupe, nous recrutons des Responsables Magasins rattaché directement au directeur de magasin. Missions : Manager, gérer et encadrer une équipe. Superviser la bonne tenue des stocks. Assurer la bonne réception des commandes fournisseurs, le contrôle qualité et des stocks. Gérer les commandes ouvertes et les biens de consommations. Organiser le travail et superviser l'équipe.",Bac+5
" Affecté à un Supermarché et rattaché au Responsable Magasin, votre rôle est d'assurer le développement commercial et l’exploitation du magasin dont vous avez la charge afin de garantir la satisfaction des clients du magasin et la réalisation des objectifs économiques et commerciaux définis. Pour cela vos domaines de résultats sont : Manager, gérer et encadrer une équipe. Superviser la bonne tenue des stocks. Assurer la bonne réception des commandes fournisseurs, le contrôle qualité et des stocks. Gérer les commandes ouvertes et les biens de consommations. Organiser le travail et superviser l'équipe. Leadership, Sens relationnel & de la communication, Capacité d’analyse & de synthèse, Initiative & réactivité et Orientation clients; sont les atouts et facteurs clés de succès de ce poste.",Bac+3
" les principales mission d'un responsable logistique: Rédiger et suivre les procédures de travail du département de logistique; Organiser, coordonner et superviser les activités logistique Rendre compte de son activité et des axes d'améliorations à travers des TdB et des indicateurs pertinents Définir le budget du service et respecter les engagements Appliquer et améliorer la politique de gestion des véhicules avec un objectif de qualité de service et d'optimisation des dépenses Etre l'interlocuteur principal des autres services de l'entreprise Assurer la gestion du transport des étudiants PASS UIR et transport du personnel Assurer une veille des lois fiscales et juridiques en matière de transport Superviser tous les flux des archives physiques de l'institution Piloter les projets de numérisation de la GED Superviser et gérer l'accueil physique, téléphonique et le bureau d'ordre",Bac+5
" Objectifs : Développer la présence, le chiffre d’affaires, la rentabilité, et la notoriété d'une catégorie de produits Créer des marques leaders auprès de nos clients et de nos consommateurs Obtenir des résultats mesurables et probants sur les marques gérées Devenir expert et référent (vis-à-vis de nos clients, de nos fournisseurs, et des services en interne) sur la catégorie de produits en charge Missions : Planification et suivi : Elaborer les plans d’action annuels (en accord avec la Direction Générale et les fournisseurs), et garantir leurs résultats Animer une catégorie de produits (promotions, activations, communication…), assurer leur bonne mise en place sur le terrain et en mesurer l’efficacité Réaliser les prévisions de ventes (en collaboration avec le service Import) et assurer une bonne gestion des stocks (surstocks, rupture, DLC…) Gérer le budget ventes / actions trade et veiller à sa rentabilité Mettre en place et suivre des indicateurs de performances Relation Fournisseur : Négocier les meilleures contreparties avec nos fournisseurs Assurer un reporting régulier et exhaustif Relation Client : Elaborer des offres spécifiques (assortiment, promotions…) pour répondre aux opportunités ou évolutions du marché, de la concurrence … Prospecter de nouveaux clients et développer le portefeuille existant Relation Interne : Accompagner et former la force de vente (terrain), et Channel developpement Informations complémentaires : Poste à 20% sur la réflexion et la stratégie, et à 80% sur le terrain et l'exécution Déplacements dans tout le Maroc",Bac+5
" Rattaché au Responsable Administratif et Financier, vous aurez comme missions: Traitement et suivi de toutes les écritures de la comptabilité générale Tenue de la situation clients/fournisseurs Établissement des rapprochements bancaires Établissement de la liasse fiscale Gestion administrative : validation des contrats et des compromis Effectuer les déclarations fiscales: TVA, acomptes.",Bac+2
" L’agence de Tanger recherche pour accompagner sa croissance, plusieurs Conseillers Commerciaux (H/F) en quête de performance et de réussite. Vos missions : • Poste sédentaire et sans prospection, vous répondez aux contacts qui font une demande sur notre site internet • Découverte de la demande du prospect : application du discours commercial, écoute des besoins et attentes, récolte des données financières et économiques, analyse et réalisation des simulations de regroupements de crédits • Gestion du portefeuille prospects/clients afin d’optimiser les retours de dossier : relance des prospects et clients, suivre commercialement jusqu'au déblocage des fonds • Force de vente : recherche, négociation et réalisation des plans de financement avec nos partenaires financiers, vente par téléphone des plans de financement, conditionnement des termes du contrat, suggestion des produits annexes • Suivre de A à Z le projet du client jusqu’au déblocage des fonds.",Bac+5
" As a Bilingual Advisor, you will be responsible for : - Analyze customer needs, propose new products, develop effective sales pitches). - Excellent interpersonal skills and the ability to listen to customers and respond appropriately to their needs; - be able to develop the right arguments to convince prospects. - Manage your customer portfolio (canvassing, prospecting, monitoring, benchmarking, etc.). - Follow up on sales and ensure that they run smoothly; - Apply defined processes and master the use of tools. - Contribute to the smooth running of the department. - Ensure qualitative and quantitative targets are met.",Bac+1
" Key Responsibilities: Technical Support: Provide end-user support for Office 365 applications including Outlook, Teams, SharePoint, OneDrive, and Power Platform System Administration: Manage and monitor Office 365 services and accounts. Oversee the Office 365 tenant and ensure compliance with licensing and security policies. Development and Customization:Develop custom solutions and workflows in SharePoint Online, PowerApps, and Power Automate to address business needs. Customize and manage Teams environments. Training and Documentation: Create training materials and conduct training sessions for staff on using Office 365 tools effectively. Maintain up-to-date documentation for system configurations and procedures. Collaboration and Communication: Work with IT and business units to understand their needs and provide effective solutions. Facilitate the adoption of Office 365 features within the organization. Troubleshooting and Problem-Solving:Troubleshoot and resolve Office 365 related issues. Implement best practices for resolving technical problems.",Bac+5
" Rattaché au Service Structure et Aménagements extérieurs, vous avez pour missions : Préparer les dessins et plans d'ingénierie; Gérer la documentation technique Assurer le soutien à l'équipe des ingénieurs; Effectuer d'autres tâches connexes Novec s’engage à promouvoir la mixité dans les recrutements et à prévenir toute forme de discrimination.",Bac+2
" Description de poste Nous recrutons au sein de notre structure un Expert Technique Senior PHP/Symfony, pour le site de Rabat. Fonctions et responsabilités Au sein d'une équipe jeune d'esprit et dynamique, Agile, vous aurez pour missions: • La participation à la maintenance d’une application développée sous PHP/synfony • La participation à la conception de nouvelles fonctionnalités • La rédaction des spécifications fonctionnelles et techniques • La rédaction des fiches de tests et assurer les tests unitaires",Bac+5
" Manpower recherche pour l'un de ses clients, une Assistante Administrative et RH.  En tant qu'Assistante Administrative et RH, vos principales missions seront : Gestion administrative : gestion courrier, facturation et classement … Gestion des factures fournisseurs. Gestion du volet achat : établissement des BDC , réception des commandes. Gestion des dossiers des collaborateurs Création des contrats et initiation des déclaratifs sociaux ( Mutuelle Cnss ....) Suivi des retours de contrats",Bac+2
" Rattaché au Département Management de projets, vous avez pour missions : Gérer les projets (délais, coût et qualité) Etudier, évaluer et chiffrer les dossiers de projets en vue de proposer les offres de services de Novec, Vérifier la conformité des contrats par rapport à l’offre et aux engagements de la société, Concevoir et planifier les projets en fonction des prescriptions et des délais impartis, Constituer, affecter et coordonner le travail des équipes, Encadrer, superviser l’équipe projet et l’assister dans l’exécution des tâches complexes, Sélectionner et contrôler les prestataires de sous-traitants interne et externe, Etablir les prévisions trimestrielles de la facturation, production et recouvrement, Suivre le recouvrement des factures émises jusqu’à l’étape de la structure financière du client, Approuver les livrables produits par les services spécialisés et par les sous-traitants, S’assurer du suivi budgétaire et du respect du planning d’avancement des prestations et apporter les ajustements nécessaires au respect des délais et du budget engagés ( chiffrage coût et délais), Assurer la gestion du contrat, y compris le contrôle des débours et la demande d’émission des factures et le suivi d’encaissement, Récupérer les attestations de référence et de fin de mission, Etablir les fiches de projet à l’achèvement d’un projet, Promouvoir l’image de marque de Novec dans son domaine d’activité, Encourager le client à adopter un plan HSE lors de l’établissement du DCE et veiller au respect du plan si établi, Sensibiliser les résidents dans les chantiers dont il est responsable, Actualiser les dossiers des sous-traitants ( assurances, habilitations, certificats d’étalonnage ou accréditations). Novec s’engage à promouvoir la mixité dans les recrutements et à prévenir toute forme de discrimination.",Bac+5
" Principales missions/tâches : Validation des opérations standardisées CEE (certificat d'économie d'énergie) sur le support applicatif interne, Identification des non-conformités d’une opération CEE suivant un process de traitement basé sur les critères de validation [prédéfinies sur nos checklists internes], Report des anomalies identifiées suivant des supports bien établis, > Excel Suivi rigoureux : prod. journalière, récap. … etc. Les LEYTONIENS ont tous un impact considérable sur notre mission, celle d’accélérer durablement la performance de chacun, en innovant, pour construire un écosystème plus responsable. Vôtre impact: Travailler en binôme avec un consultant de LEYTON France sur des projets à forte valeur ajoutée dans le cadre d’une mesure politique visant à encourager les économies d’énergie. Initier et faciliter la collaboration avec les clients de LEYTON en démontrant une expertise et un professionnalisme hors pair ce qui aidera à fidéliser les clients et partenaires de LEYTON. Participer aux forums internes, ateliers et séminaires ou Web-séminaires. Votre équipe: Vous serez directement rattaché(e) au Team Leader de la BU, un manager compréhensif, à l’écoute et qui saura vous mettre à l’aise en assurant un environnement sain et bienveillant. Vous ferez partie d'une grande équipe de personnes très agréables, sympathiques et serviables dont la devise est la philanthropie et l’entraide.",Bac+3
" Assurer une bonne gestion du rayon, Atteindre les objectifs, marges, stocks, productivité, casse et taux de ruptures, Établir les plannings hebdomadaires, Organiser le travail de votre équipe et assurer son accompagnement, Respecter la politique commerciale du groupe / fidéliser la clientèle, Contrôler le respect des normes d'hygiène et de sécurité, Passer les commandes, les réceptionner et gérer le stock.",Bac+2
