description_poste,secteur_travail
" This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles: Senior Software Engineer : You’ll need at least three years’ hands-on Salesforce development experience and proven expertise in independently developing and implementing Salesforce solutions and problem resolutions. This role is part of an agile team and involves technical design, software development and implementation and maintenance of software solutions/products that support the Emirates Group business. Senior Technical Software Engineer : For this role, you would need a minimum of five years’ hand-on Salesforce development experience. You’ll provide technical leadership to your team and be responsible for driving and implementing software engineering strategies, standards and guidelines, as well as collaborating with the team to develop business critical technical solutions. This role also involves planning/estimation, application development, deployment, release, hyper-care and operation of developed solutions. Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more. Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.",Développement logiciel
" Principales missions de l’Analyste Développeur SI: Développement des SI Accompagner les utilisateurs dans la définition des besoins en développement informatique et élaborer les spécifications fonctionnelles ; Elaborer les spécifications techniques pour le développement de la solution informatique ; Assurer la conception, le codage et les tests des solutions informatiques conformément aux spécifications techniques et veiller au respect de la planification ; Contribuer et superviser la phase de recette et veiller à la conformité des livrables aux spécifications du cahier des charges ; Contribuer à la définition des normes et des procédures de développement au niveau du système d’information et contribuer à leurs améliorations continues ; Réaliser une étude d'impact pour identifier les risques liés au projet (techniques et fonctionnelles) ; Assurer l’élaboration de la documentation technique (procédures d’exploitation, modes opératoires d’installation, de configuration, manuels d’utilisation, supports de formation,etc.). Maintenance des SI Participer à l’identification des dysfonctionnements des applications en exploitation ainsi que leur correction ; Assurer le traitement des anomalies fonctionnelles par la proposition des actions correctives et préventives dans les meilleurs délais.",Développement logiciel
" This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles: Senior Software Engineer : You’ll need at least three years’ hands-on ReactJS Development experience and proven expertise in independently developing and implementing ReactJS solutions and problem resolutions. This role is part of an agile feature team and involves technical design, software development, implementation and maintenance software solutions/products that support the Emirates Group Business. Senior Technical Software Engineer : For this role, you would need a minimum of five years’ hands-on ReactJS development experience. You’ll provide technical leadership to your team and be responsible for driving and implementing software engineering strategies, standards and guidelines, as well as collaborating with the team to develop business critical technical solutions. This role also involves planning/estimation, application development, deployment, release, hyper-care and operation of developed solutions. Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more. Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.",Aéronautique
" Vous aurez comme principale mission: Modélisation des processus métiers et support (en interne et externe clients : banque, Assurance et Industrie/distribution) Participation à l’ensemble des étapes projets (Etude, recueil de besoin, cadrage, formalisation des livrables, suivi d’avancement, recette, conduite du changement…) Optimisation et Mise en place des indicateurs par Processus et étapes Formalisation des grilles de pricing par BU et projet et mise à jour Participation aux réponses aux appels d’offres et formalisation des offres clients Veille technologique avancée Animation de comité projet et reporting",Services
Concevoir et développer des scripts de tests automatiques Conception et développement de bouchons ou générateurs de requêtes ou jeux de test Intégration des tests dans la chaîne d'intégration continue Documentation des tests Renfort possible sur des activités de tests manuels en cas de besoin sur le projet,Technologie
" En tant que Concepteur/Développeur ESB, vos activités principales seront de : Acquérir une connaissance fonctionnelle et technique (interfaces) de l’ensemble du SI de WIN/IC et des composants des SI d’autres directions avec lesquels le SI de WIN/IC doit échanger de l’information, Participer très activement à la conception et aux choix techniques devant être mis en œuvre, Analyser et traduire les besoins fonctionnels, non fonctionnels et proposer des solutions, Proposer des développements et des recommandations en tenant compte de l’architecture logicielle des SI en place, Développer, tester, documenter (développements et tests), livrer à l'équipe projet puis maintenir et gérer en configuration le composant logiciel (de la conception fonctionnelle / technique à la réalisation) dont vous avez la charge, pour le projet auquel vous contribuez, dans le respect des exigences (qualité, délai) du Plan de Développement de celui-ci, Intégrer les développements réalisés dans le SI de WIN/IC avec les composants des SI d’autres directions avec lesquels le SI de WIN/IC doit échanger de l’information, Contribuer au développement et à l’industrialisation d’outils de test des développements réalisés, Contribuer à la gestion des différents environnements (matériels et logiciels) nécessaire à la production et aux tests des logiciels, Contribuer à l’amélioration des processus de production (développements) des logiciels. Entretenir un dialogue permanent avec vos correspondants sur les aspects conception et développement, Assurer le suivi avec les équipes MOA sur l’ensemble des tickets d’incidents, des problèmes récurrents et des mises en production (activités RUN).",Technologie
" En tant qu'Expert Technico Fonctionnel Billing, vos principales missions seront de : Apporter un support aux filiales dans leur projet de transformation (depuis l’expression de besoins jusqu’à la mise en production : RFP, spécifications, ) ; Apporter son expertise en support ponctuel aux filiales pour challenger les fournisseurs locaux du domaine ; Assurer la relation avec les éditeurs de solutions de son périmètre, tester et évaluer les nouvelles versions et contribuer, influer leurs road map ; Prendre en charge la mise en oeuvre de paramétrage de la solution pour certains processus métier: analyse et recueil des besoins auprès des utilisateurs ; Rédiger les spécifications techniques/fonctionnelles, paramétrages, campagnes de tests, préparation au démarrage, déploiement d'application, recette ; Assurer le support et l’assistance aux utilisateurs, maintenance corrective et évolutive ; Contribuer aux sessions de travail avec les clients et définir avec eux leurs futurs besoins et processus ; Assurer une veille technologie sur son domaine, jusqu’à faire des benchmarks avec les entités du groupe. L’expert Technico Fonctionnel pilote et instruit les demandes des filiales clientes dont il est l’interlocuteur référent. Vous travaillerez en mode Agile/cycle court, avec une équipe située en France, dans un contexte exigeant en termes de performance et de disponibilité. Vos principales activités sont les suivantes: Piloter le plan d’action des filiales de son périmètre [environ 20% de l’activité] ; Recueillir les besoins d’évolutions, rédiger des propositions de prestations ; Piloter les évolutions en développement, les migrations ; Reporter vers la filiale sur l’ensemble des activités de développement et de support, sur la QoS ; Si besoin, prioriser les actions, gérer les escalades ; Assurer l’expertise & Paramétrage sur l’outil InterconnecT et sur le domaine de l’interconnexion [environ 80% de l’activité] ; Analyser les besoins métiers, préconiser les solutions appropriées ; Réaliser les études fonctionnelles ou techniques ; Participer aux implémentations d’évolutions, aux tests ; Être le référent du fonctionnement InterconnecT pour les filiales (modélisation des offres, processus métier) ; Intervenir en renfort en cas de difficultés sur la production.",Télécommunications
" En tant que Concepteur Développeur PHP, vous aurez les missions suivantes : L’étude de la migration ; Le (re)développement de l’application IASO avec Symphony et Docker ; La documentation du code source ; Le transfert de compétence ; Piloter la réalisation (points de suivi avec le métier) ; Développer, tester, documenter (développements et tests), livrer à l'équipe projet puis maintenir et gérer en configuration le composant logiciel (de la conception fonctionnelle / technique à la réalisation).",Technologie
" Nous sommes à la recherche d'un développeur web backend senior expérimenté et talentueux pour rejoindre notre équipe dynamique et innovante. En tant que développeur web backend senior, vous jouerez un rôle crucial dans la conception, le développement et la maintenance de systèmes backend robustes et évolutifs qui alimentent nos applications web. Votre expertise déterminera la direction technique de nos projets et contribuera au succès de nos produits. Vous intégrerez un département informatique spécialisé qui supervise la conception, la mise en œuvre et l'exploitation des outils logiciels qui soutiennent les services internationaux d'Orange pour les entreprises. En ce qui concerne le besoin, le département OINIS d'Orange exploite divers actifs de télécommunication tels que des centres de données, des réseaux dorsaux et des réseaux de transmission. Afin de gérer l'authentification et l'autorisation d'accès à ces actifs, la solution est divisée entre un frontend web et un backend. Cette mission se concentre sur le backend. Le travail sera basé sur une étude de conception de haut niveau existante. Le backend comprend des bases de données, des mécanismes API pour communiquer avec le front-end d'une part et avec les dispositifs LDAP et Tacacs d'autre part. Au sein d'OINIS, les développeurs travaillent selon la méthodologie Agile Scrum et les principes DevOps, avec une chaîne d'outils CI/CD. Les applications et les outils sont hébergés dans des centres de données privés dans des machines virtuelles et des conteneurs (avec Kubernetes). De plus, le Security by design fait partie de notre ADN et l'ingénieur logiciel doit être conscient des risques de sécurité liés aux logiciels Responsabilités : - Développement du backend : Concevoir, développer et maintenir des systèmes backend et des API efficaces, fiables et évolutifs pour soutenir nos applications web. Collaborer avec les développeurs frontaux et d'autres équipes interfonctionnelles pour assurer une intégration transparente. - Architecture et conception : Participer aux discussions et aux décisions architecturales, en fournissant des informations précieuses pour aider à façonner la conception globale et l'orientation technique de nos projets. - Qualité du code : Rédiger un code propre, facile à maintenir et bien documenté. Suivre les meilleures pratiques, les normes de codage et assurer la qualité du code par le biais de tests et de revues de code. - Optimisation des performances : Identifier les goulets d'étranglement en matière de performances et optimiser les systèmes dorsaux pour les rendre plus rapides et plus efficaces. Effectuer le profilage, la surveillance et le débogage pour améliorer les performances de l'application. - Gestion des bases de données : Concevoir et maintenir des bases de données, en garantissant l'intégrité des données, la sécurité et l'efficacité des requêtes. Optimiser les schémas de base de données et les requêtes pour des performances optimales. - Sécurité : Mettre en œuvre et maintenir des mesures de sécurité solides pour protéger les données et prévenir les vulnérabilités. Se tenir au courant des meilleures pratiques de l'industrie et des nouvelles menaces de sécurité. - Collaboration : Collaborer avec les développeurs frontaux, les concepteurs, les gestionnaires de produits et d'autres parties prenantes pour traduire les exigences commerciales en solutions techniques. Fournir des conseils techniques et un mentorat aux développeurs juniors. - Résolution de problèmes : Analyser les défis techniques complexes et fournir des solutions innovantes. Dépanner et résoudre les problèmes en temps opportun, en assurant la stabilité de nos applications web. - Apprentissage continu : Se tenir au courant des tendances de l'industrie, des nouvelles technologies et des meilleures pratiques en matière de développement backend. Proposer et mettre en œuvre de manière proactive des améliorations aux systèmes et processus existants. - Gestion de projet : Participer à la planification, à l'estimation et à l'exécution des projets. Fournir un travail de haute qualité dans les délais impartis. Le consultant travaillera sous la direction d'un Product Owner qui priorisera les User Stories et validera les productions logicielles. Informations complémentaires : Rejoignez notre équipe et contribuez à la création d'applications web innovantes et percutantes. Si vous êtes passionné par le développement backend, que vous avez un fort sentiment d'appartenance et que vous vous épanouissez dans un environnement en constante évolution, nous serions ravis d'entendre parler de vous. L'employé rejoindra une équipe d'ingénierie informatique, avec des sujets complexes mais riches. Il s'agit d'une équipe très dynamique dans un environnement international, avec de nombreux experts seniors en informatique, logiciels et réseaux. L'équipe répond aux besoins des entreprises en matière de technologies de l'information dans divers domaines des télécommunications : réseaux, centres de données, transmission et satellites.",Télécommunications
" Responsabilités : Développer et personnaliser des solutions SharePoint en utilisant SharePoint 2016, Langage et techno : C#, SPFx, ReactJS Écrire et maintenir des scripts PowerShell pour automatiser les tâches de gestion SharePoint. Collaborer avec les équipes métiers pour comprendre les besoins des utilisateurs et proposer des solutions techniques efficaces. Assurer la maintenance et le support des solutions existantes.",Technologies de l'information et services
" On behalf of one of its clients based in Tangier, ALTADOS By Niji is looking for a “Data Scientist ” for a permanent contract (CDI). Work instructions, procedures and information : The Data Scientist uses its analytical, statistical and programming skills to collect, analyze and interpret large data sets. It is responsible for developing and maintaining data science models to serve digital use cases. It belongs to the Data Center of Excellence, and is detached to domains to work on use-cases in product teams. Missions Support data domains to ideate, design & deliver digital use cases using data science models Maintain models and provide support to data model users Conduct experimentation and contribute to the Data Science community IPIs and/or main deliverables : Data Science models Activities : Data Science use-case delivery : Contributes to use-case ideation, framing & scoping activities under the lead of a Data Manager. In particular, Identifies data science opportunities lying in the Data Domain Works with the Data Manager and Data Engineer to frame data needs & data quality Works with the Data Manager and possibly a designer or a BI engineer to shape the use-case UX & UI for the user to take best advantage of the models Studies, designs and develops models for analysis, exploitation, prediction and restitution of data Defines data quality controls to ensure model robustness Works closely with data engineers on data models & pipelines Pushes models to production (MLOps) Use-case run : Monitors and maintains its models, adopting MLOps best practices, with possible support of IT Operations Provides support to users on Data Manager demand Sets up and implements adoption metrics and ML success metrics Innovation & Data Science community : Performs data science peer reviews in other projects from any Data Domain Conducts experimentation projects with new models and techniques, sets up demonstrators and POV (Proof of Value) with the business teams Actively participates in the Data Science community to Improve data science processes and tools, e.g., MLOps Share project return of experience Train peers in advanced data science technologies Train the data citizen for self-modeling & statistics.",Technologies de l'information et services
" En tant qu'Architecte SI, vous aurez les principales missions suivantes : • Auditer les systèmes d’information (BSS/OSS) selon les meilleurs pratiques (Tmforum, ITIL) ; • Contribuer à la définition des schémas directeurs des systèmes d'information en appliquant le standard TOGAF ; • Urbaniser les systèmes d’information et organiser les différents composants du SI y compris les référentiels communs ; • Définir les roadmaps de transformation du SI et les moyens nécessaires ; • Piloter la phase de recueil des besoins, rédaction des cahiers des charges et des RFPs ; • Evaluer les réponses à Appels d’offres et négocier le contrat avec les éditeurs et les intégrateurs de solutions IT ; • Animer des workshops et coordonner les différents acteurs (métier, DSI, partenaire).",Conseil en management
" Au sein de la direction solution « Business Intelligence et mesure de la performance », la Direction de projets Business Intelligence Entreprise a pour mission de concevoir, développer et instancier des solutions de business intelligence pour le Domaine Entreprise d’Orange France (DEF). A ce titre, elle garantit : La bonne prise en compte des demandes ; Leur qualification, leur priorisation et leur suivi ; Pour les demandes priorisées, le cadrage du besoin, la définition périmètre couvert et l’instruction des jalons ; Pour le besoin faisant l’objet d’un projet SI, l’adéquation de la solution livrée avec le besoin exprimé. Dans le cadre d’une équipe de maitrise d’œuvre basée sur le site C2S- RABAT et d’un client basé sur le site Bonne Nouvelle Paris, votre mission consistera à être le référent technique des applications du domaine BI, et à participer aux travaux de conception /développement des évolutions priorisées par les métiers. A ce titre vous vous assurez de la conformité des composants logiciels, services ou applications livrés aux besoins spécifiés. Vos principales activités : En tant que Concepteur/Développeur, vos activités principales seront de : Développer, tester, documenter, livrer à l'équipe projet puis maintenir et gérer en configuration le composant logiciel (de la conception technique à la réalisation) dont vous avez la charge, pour le projet auquel vous contribuez, dans le respect des exigences (qualité, délai) du Plan de Développement de celui-ci ; Acquérir et la compétence fonctionnelle du domaine nécessaire à la réalisation des développements ; Analyser et traduire les besoins fonctionnels, non fonctionnels et proposer des solutions ; Organiser le développement des logiciels et définir des modèles de logiciel (modèles de nouvelles architectures) en vous assurant de la robustesse de la solution ; Participer au développement et au déploiement de méthodes, d’outils de développement logiciel ; Proposer des développements et des recommandations en tenant compte de l’architecture logicielle en place ; Accompagner, tutorer et être référent technique ; Assurer une veille technologique sur les pratiques du domaine. En tant que Concepteur/Développeur sur le projet WII, vous participez à la réalisation des prototypes et de projets à forts enjeux business (activités BUILD), dans le domaine de la business intelligence, sur des technologies principalement basées sur la suite Microsoft BI (SSAS/SSRS/SSIS, Cubes,..). Vos activités principales seront de : Rédiger les spécifications détaillées des évolutions demandées, puis effectuer le développement et la qualification unitaire ; Acquérir la connaissance fonctionnelle de l’ensemble du domaine applicatif concerné ; Intégrer des applications dans le SI ; Mettre en œuvre de prototypes (Cube/Rapports) pour des restitutions métiers ; Entretenir un dialogue permanent avec ses correspondants sur les aspects conception et développement ; Assurer le suivi avec les équipes MOA sur l’ensemble des tickets d’incidents, des problèmes récurrents et des suivis de mise en production (activités RUN).",Télécommunications
" Vos principales missions: - Coordonner l’équipe de migration et comprendre les activités et les problèmes pour apporter le support nécessaire et les plans d’action de résolution. - Être le point de contact privilégié vis-à-vis d’Orange France DTSI et collaborer étroitement avec le responsable de programme - Réaliser le suivi des activités (e.g. : Indicateurs, Qualité de Service, problèmes, correctifs, nombre de demandes clients etc) - Veiller à la mise en œuvre de la roadmap, de la stratégie de migration avec le responsable de programme Vos principales activités : Il s’agit principalement d’un rôle de coordination et de pilotage en réalisant notamment les tâches suivantes : - Vue et suivi global des activités sur l’infrastructure IaaSv1 et IaaS NG (MCO, exploitation, support et accompagnement) - Organiser des points de préparation à la migration avec les clients (Réunions de préparation aux migrations, planification des dates de migrations, reportings). - Rédiger des comptes rendus synthétiques hebdomadaires à destination des parties prenantes (e.g. responsable programme, managers) - être le SPOC privilégié et interagir avec les équipes DTSI et notamment le programme manager en France) - Co-construire avec l’équipe et les parties prenantes les indicateurs de performance pertinents à suivre (e.g. alerting, satisfaction client, nb de tickets traités, en cours, capacitaire etc) - Rassembler, consolider, suivre et partager ces indicateurs régulièrement (e.g. mensuel) - Suivre et communiquer sur l’organisation et des événements du support et des astreintes 24h/7 - Améliorer les process existants, proposer des méthodes de travail permettant de gagner en efficacité et communiquer (rédaction de process à destination des projets, des clients) - Co-construire la roadmap produit / services / activités avec le responsable de programme et s’assurer de son suivi et bonne exécution/ Vous vous reposez sur l’expertise de l’équipe et vous travaillerez étroitement avec le leader technique de l’équipe. Compétences Indispensables: Connaissance du domaine de l’infra (Vmware) Compétences Souhaitables: Compétences organisationnelles (agile) / rédactionnelles Vous possédez tout ou parties des compétences transverses : Bon relationnel et savoir travailler en toute autonomie Savoir communiquer et échanger des informations Avoir une capacité d'analyse et de synthèse Etre rigoureux au quotidien Etre curieux Avoir le sens du résultat et de la satisfaction du demandeur (qualité et délais) Savoir synthétiser, effectuer des reportings",Télécommunications
