description_poste,niveau_étude
" We are seeking a skilled Data Analyst to join our team. The Data Analyst will be responsible for collecting, processing, and performing statistical analysis on large datasets to provide insights that inform business decisions. The ideal candidate will possess a strong analytical background, excellent problem-solving skills, and the ability to work independently and as part of a team. Key Responsibilities: • Collect, process, and analyze large datasets to identify trends, patterns, and insights that inform business decisions. • Develop and maintain databases and data systems to ensure accuracy and completeness of data. • Create visualizations and reports that communicate complex data in a clear and concise manner, using tools such as Microsoft Excel (and impress us with your Excel magic). • Collaborate with cross-functional teams to identify and address business needs and opportunities. • Stay up-to-date with industry trends and advancements in data analytics tools and techniques.",Bac+5
" As a No-Code/Low-Code Developer, you will be instrumental in developing and maintaining applications using no-code and low-code platforms. You will collaborate with cross-functional teams to create efficient business solutions and improve existing processes. Responsibilities : Design, develop, and maintain applications using no-code/low-code platforms. Collaborate with stakeholders to understand requirements and provide technical solutions. Ensure applications are scalable, maintainable, and user-friendly. Assist in the integration of no-code/low-code applications with other systems. Conduct testing and quality assurance of applications. Stay updated with the latest trends and advancements in no-code/low-code technology.",Bac+5
" This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles: Senior Quality Assurance Engineer : You’ll need at least three years’ hands-on experience developing and implementing quality engineering practices and processes. This role is part of a Scrum team ensuring the high-quality delivery of products and services for our customers. Lead Quality Assurance Engineer : For this role, you would need a minimum of five years’ hands-on experience designing, developing and implementing quality engineering practices and processes. You’ll lead a feature team within an agile release train in accordance with quality standards and best practice guidelines. Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more. Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.",Bac+4
" This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles: Senior Software Engineer : You’ll need at least three years’ hands-on iOS or Android development experience and proven expertise in independently developing and implementing iOS or Android solutions and problem resolutions. This role is part of an agile feature team and involves technical design, software development, implementation and maintenance software solutions/products that support the Emirates Group Business. Senior Technical Software Engineer : For this role, you would need a minimum of five years’ hands-on iOS or Android development experience. You’ll provide technical leadership to your team and be responsible for driving and implementing software engineering strategies, standards and guidelines, as well as collaborating with the team to develop business critical technical solutions. This role also involves planning/estimation, application development, deployment, release, hyper-care and operation of developed solutions. Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more. Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.",Bac+4
" This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles: Senior Software Engineer : You’ll need at least three years’ hands-on ORACLE ERP development experience and proven expertise in independently developing and implementing ORACLE ERP solutions and problem resolutions. This role is part of an agile feature team and involves technical design, software development, implementation and maintenance software solutions/products that support the Emirates Group Business. Senior Technical Software Engineer : For this role, you would need a minimum of five years’ hands-on ORACLE ERP development experience. You’ll provide technical leadership to your team and be responsible for driving and implementing software engineering strategies, standards and guidelines, as well as collaborating with the team to develop business critical technical solutions. This role also involves planning/estimation, application development, deployment, release, hyper-care and operation of developed solutions. Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more. Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.",Bac+4
" Nous recherchons un chef de projet Senior Scrum qui aura pour missions : Fonctions et responsabilités : La/Le Chef(fe) de Projet participe à des projets de développement pour un ou plusieurs clients, sous la responsabilité du directeur de projet ; La/Le Chef(fe) de Projet est responsable, vis-à-vis du client et de CGI, du suivi, de la bonne conduite et de la réussite d’un projet ; Elle/Il coordonne les actions nécessaires à la réalisation du projet, fixe les objectifs, les moyens et l’organisation utiles au bon déroulement du projet. Garantir le respect des engagements de développement prévus au contrat ; Piloter un projet NTI en mode TMA et/ou Agile ; Garantir la rentabilité de son périmètre au regard des objectifs définis ; Définir et améliorer les pratiques qualité et les procédures du périmètre ; Garantir la satisfaction du client ; Garantir une structure efficace de communication et de reporting vers son équipe et vers son management ; Assurer l’interface client ; Identifier les risques du périmètre ; Suivre et faire évoluer les compétences de l’équipe sur son périmètre, mener ou faire mener les entretiens de mission et contribuer à l’évaluation des membres ; Contribuer à des estimations de charge dans le cadre de propositions commerciales. Focus Agile / Scrum Master : Une expérience probante en tant que Scrum Master ; Coordination entre les différents acteurs Agile client et CGI ; Assure le lien avec la direction de projet CGI ; Accompagnement au changement de l’équipe ; En support du PO pour l’organisation des livraisons transverses ; Validation des différentes habilitations des membres de l’équipe ; Assure un suivi de la complétude de la documentation produite ; Assure la bonne tenue de la démarche d’amélioration continue ; Est le garant de la démarche agile Responsabilités transverses : Amélioration de la qualité ; Fiabilisation des suivi de charges dans JIRA ; Mise en place de plan de charge de l’équipe ; Gestion des départs et des intégration à travers des plan de transfert de connaissances ; Maintien et capitalisation de la connaissance sur le projet via outils et plans d’actions appropriés. Responsabilités RH : Réalisation des entretiens de suivi de mission de son équipe ; Accueil et Intégration des nouveaux arrivants sur le projet ; Intervenir dans le recrutement des ressources.",Bac+5
" Dans le cadre de son développement, CGI Technologies et Services à Rabat recrute un(e) Chef de projet Senior. Fonctions et responsabilités En qualité de chef de projet, vous serez appelé à collaborer à plusieurs initiatives majeures de l’unité. Ce rôle exige une communication et une interaction avec les multiples clients internes et externes pour veiller à ce que chaque module interagisse adéquatement avec les autres. Le Chef de projet doit également résoudre les problèmes et élaborer de nouvelles améliorations pour atteindre les résultats ciblés. Si vous avez de l’expérience en gestion de projet, nous souhaitons vous connaitre. A ce titre vous aurez comme principales missions : Volet Opérationnel Global Assure le suivi du backlog de son périmètre Assure le suivi des engagements de qualité et de délai pris vis-à-vis des clients Planifie les sujets conformément aux disponibilités de l’équipe TMA et aux priorités du client Amine le morning meeting CGI avec l’équipe TMA Assure les weekly CGI avec le CP P&C Participe aux comités opérationnels client qui nécessitent sa présence Participe à la préparation et animation du comité de pilotage Assure le suivi des KPI mensuels Garant du respect des normes de sécurité Garant de la montée en compétence de l'équipe Garant de la capitalisation sur les compétences Transverse : Amélioration de la qualité Fiabilisation JIRA Mise en place de plan de charge Pilotage de la montée de connaissance Mise en place des plans d’actions d’amlioration Volet RH: Réalisation des entretiens de suivi de mission de son équipe Intégration des nouveaux arrivants sur l’activité TMA Intervenir sur le recrutement des ressources",Bac+5
" Dans le cadre du processus de désactivation de l'outil d'automatisation réseau BNA, nous sommes actuellement à la recherche de développeurs Python/Ansible confirmés. Leur mission consistera à assumer la responsabilité du développement d'automates en Ansible/Python destinés à la gestion des équipements réseau. Le projet englobe l'ensemble des équipements réseau relevant du domaine. Ces développeurs collaboreront étroitement avec des experts en réseau qui leur fourniront une expertise métier cruciale. La réalisation de ce projet nécessite également une familiarité avec les méthodes de développement Agile. Responsabilités : Contribuer activement à l'avancement du projet en développant les automates, en documentant leur fonctionnement et en communiquant avec les utilisateurs. Gérer l'intégration des automates dans un environnement de test et participer au déploiement vers la cible. Contribuer à la planification, à l'organisation et au suivi du projet tout en respectant les échéances. Programmer les réunions nécessaires, résoudre les points de blocage et, le cas échéant, escalader les problèmes. Évaluer les risques et proposer des solutions pour les maîtriser. Assurer la gestion du cycle de vie des automates. Fournir un soutien technique et des conseils aux équipes impliquées dans la mise en œuvre et la migration de BNA vers les automates développés. Connaissances / compétences techniques : Expérience confirmée en développement Python Connaissance avancée dans l’utilisation d’Ansible Compétences en programmation, en développement et architecture logicielle. Excellentes capacités de communication et aptitude à travailler en équipe. Maitrise dans l’utilisation d’outil de versioning (Git) pour gérer les modifications du code source. Connaissance des principes et outils de CI/CD (Gitlab) Connaissance des méthodes Agile (SCRUM) Connaissance des outils JIRA/Confluence Connaissance des environnements système Linux Connaissance des réseaux et infrastructures informatiques est un plus",Bac+5
" This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles: Senior Software Engineer : You’ll need at least three years’ hands-on TPF/ALCS development experience and proven expertise in independently developing and implementing TPF/ALCS solutions and problem resolutions. This role is part of an agile feature team and involves technical design, software development, implementation and maintenance software solutions/products that support the Emirates Group Business. Senior Technical Software Engineer : For this role, you would need a minimum of five years’ hands-on TPF/ALCS development experience. You’ll provide technical leadership to your team and be responsible for driving and implementing software engineering strategies, standards and guidelines, as well as collaborating with the team to develop business critical technical solutions. This role also involves planning/estimation, application development, deployment, release, hyper-care and operation of developed solutions. Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more. Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.",Bac+4
" La mission principale du poste est d’assurer la gestion du déploiement des stations satellites d’un de nos clients majeurs en France Enjeux du poste : Assurer la bonne gestion économique et administrative du déploiement d’un client Grand Compte au sein d’un projet majeur (durée + 3ans) pour ce client du secteur de l’énergie. Forte interaction avec l’équipe en charge de la Gestion du Projet, et l’équipe du prestataire externe assurant les installations. Participation selon besoins à des réunions en France (4 fois par an environ) avec les équipes du Client en charge de la gestion des commandes. Le plus de l’offre Travail en autonomie dans un contexte technique et dynamique sur un projet majeur, au sein d’une équipe internationale. Activités Vérification et validation des devis fournisseurs (quantité des fournitures, type de prestation) versus les comptes-rendus de prévisites / installations. Outils oFusion : création, réception, clôture des commandes fournisseurs. Gestion et mise à jour du fichier Excel « Travaux Complémentaires » pour établir les devis facturation client Assurer un suivi des commandes Ofusion Assurer un suivi de facturation de bout en bout en collaboration avec le service achat (DGC/DCI) Gestion documentaire : drag/drop des fichiers dans le Cloud fournisseur vers Cloud Client selon les validations Gestion des demandes clients complémentaires (variations) et régularisation des fichiers de suivi en accord Vérification et validation d’éléments techniques simples sur les comptes-rendus de prévisites / installations. Rendre compte aux Chef de Projets technique de l’avancement / problématiques rencontrées",Bac+3
" Dans le cadre de notre campagne de stages PFE 2024, nous sommes à la recherche de stagiaires sérieux, motivés et ambitieux ayant un esprit d'équipe pour participer à des projets liés au domaine informatique au sein d’une équipe jeune et dynamique.",Bac+5
" This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles: Senior Software Engineer : You’ll need at least three years’ hands-on Java development experience and proven expertise in independently developing and implementing Java solutions and problem resolutions. This role is part of an agile team and involves technical design, software development and implementation and maintenance of software solutions/products that support the Emirates Group business. Senior Technical Software Engineer : For this role, you would need a minimum of five years’ hand-on Java development experience. You’ll provide technical leadership to your team and be responsible for driving and implementing software engineering strategies, standards and guidelines, as well as collaborating with the team to develop business critical technical solutions. This role also involves planning/estimation, application development, deployment, release, hyper-care and operation of developed solutions. Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more. Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.",Bac+4
" This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles: Senior Software Engineer : You’ll need at least three years’ hands-on Salesforce development experience and proven expertise in independently developing and implementing Salesforce solutions and problem resolutions. This role is part of an agile team and involves technical design, software development and implementation and maintenance of software solutions/products that support the Emirates Group business. Senior Technical Software Engineer : For this role, you would need a minimum of five years’ hand-on Salesforce development experience. You’ll provide technical leadership to your team and be responsible for driving and implementing software engineering strategies, standards and guidelines, as well as collaborating with the team to develop business critical technical solutions. This role also involves planning/estimation, application development, deployment, release, hyper-care and operation of developed solutions. Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more. Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.",Bac+4
" Principales missions de l’Analyste Développeur SI: Développement des SI Accompagner les utilisateurs dans la définition des besoins en développement informatique et élaborer les spécifications fonctionnelles ; Elaborer les spécifications techniques pour le développement de la solution informatique ; Assurer la conception, le codage et les tests des solutions informatiques conformément aux spécifications techniques et veiller au respect de la planification ; Contribuer et superviser la phase de recette et veiller à la conformité des livrables aux spécifications du cahier des charges ; Contribuer à la définition des normes et des procédures de développement au niveau du système d’information et contribuer à leurs améliorations continues ; Réaliser une étude d'impact pour identifier les risques liés au projet (techniques et fonctionnelles) ; Assurer l’élaboration de la documentation technique (procédures d’exploitation, modes opératoires d’installation, de configuration, manuels d’utilisation, supports de formation,etc.). Maintenance des SI Participer à l’identification des dysfonctionnements des applications en exploitation ainsi que leur correction ; Assurer le traitement des anomalies fonctionnelles par la proposition des actions correctives et préventives dans les meilleurs délais.",Bac+5
" This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles: Senior Software Engineer : You’ll need at least three years’ hands-on ReactJS Development experience and proven expertise in independently developing and implementing ReactJS solutions and problem resolutions. This role is part of an agile feature team and involves technical design, software development, implementation and maintenance software solutions/products that support the Emirates Group Business. Senior Technical Software Engineer : For this role, you would need a minimum of five years’ hands-on ReactJS development experience. You’ll provide technical leadership to your team and be responsible for driving and implementing software engineering strategies, standards and guidelines, as well as collaborating with the team to develop business critical technical solutions. This role also involves planning/estimation, application development, deployment, release, hyper-care and operation of developed solutions. Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more. Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.",Bac+4
" Vous aurez comme principale mission: Modélisation des processus métiers et support (en interne et externe clients : banque, Assurance et Industrie/distribution) Participation à l’ensemble des étapes projets (Etude, recueil de besoin, cadrage, formalisation des livrables, suivi d’avancement, recette, conduite du changement…) Optimisation et Mise en place des indicateurs par Processus et étapes Formalisation des grilles de pricing par BU et projet et mise à jour Participation aux réponses aux appels d’offres et formalisation des offres clients Veille technologique avancée Animation de comité projet et reporting",Bac+5
" Concevoir et développer des scripts de tests automatiques Conception et développement de bouchons ou générateurs de requêtes ou jeux de test Intégration des tests dans la chaîne d'intégration continue Documentation des tests Renfort possible sur des activités de tests manuels en cas de besoin sur le projet",Bac+5
" En tant que Concepteur/Développeur ESB, vos activités principales seront de : Acquérir une connaissance fonctionnelle et technique (interfaces) de l’ensemble du SI de WIN/IC et des composants des SI d’autres directions avec lesquels le SI de WIN/IC doit échanger de l’information, Participer très activement à la conception et aux choix techniques devant être mis en œuvre, Analyser et traduire les besoins fonctionnels, non fonctionnels et proposer des solutions, Proposer des développements et des recommandations en tenant compte de l’architecture logicielle des SI en place, Développer, tester, documenter (développements et tests), livrer à l'équipe projet puis maintenir et gérer en configuration le composant logiciel (de la conception fonctionnelle / technique à la réalisation) dont vous avez la charge, pour le projet auquel vous contribuez, dans le respect des exigences (qualité, délai) du Plan de Développement de celui-ci, Intégrer les développements réalisés dans le SI de WIN/IC avec les composants des SI d’autres directions avec lesquels le SI de WIN/IC doit échanger de l’information, Contribuer au développement et à l’industrialisation d’outils de test des développements réalisés, Contribuer à la gestion des différents environnements (matériels et logiciels) nécessaire à la production et aux tests des logiciels, Contribuer à l’amélioration des processus de production (développements) des logiciels. Entretenir un dialogue permanent avec vos correspondants sur les aspects conception et développement, Assurer le suivi avec les équipes MOA sur l’ensemble des tickets d’incidents, des problèmes récurrents et des mises en production (activités RUN).",Bac+5
" En tant qu'Expert Technico Fonctionnel Billing, vos principales missions seront de : Apporter un support aux filiales dans leur projet de transformation (depuis l’expression de besoins jusqu’à la mise en production : RFP, spécifications, ) ; Apporter son expertise en support ponctuel aux filiales pour challenger les fournisseurs locaux du domaine ; Assurer la relation avec les éditeurs de solutions de son périmètre, tester et évaluer les nouvelles versions et contribuer, influer leurs road map ; Prendre en charge la mise en oeuvre de paramétrage de la solution pour certains processus métier: analyse et recueil des besoins auprès des utilisateurs ; Rédiger les spécifications techniques/fonctionnelles, paramétrages, campagnes de tests, préparation au démarrage, déploiement d'application, recette ; Assurer le support et l’assistance aux utilisateurs, maintenance corrective et évolutive ; Contribuer aux sessions de travail avec les clients et définir avec eux leurs futurs besoins et processus ; Assurer une veille technologie sur son domaine, jusqu’à faire des benchmarks avec les entités du groupe. L’expert Technico Fonctionnel pilote et instruit les demandes des filiales clientes dont il est l’interlocuteur référent. Vous travaillerez en mode Agile/cycle court, avec une équipe située en France, dans un contexte exigeant en termes de performance et de disponibilité. Vos principales activités sont les suivantes: Piloter le plan d’action des filiales de son périmètre [environ 20% de l’activité] ; Recueillir les besoins d’évolutions, rédiger des propositions de prestations ; Piloter les évolutions en développement, les migrations ; Reporter vers la filiale sur l’ensemble des activités de développement et de support, sur la QoS ; Si besoin, prioriser les actions, gérer les escalades ; Assurer l’expertise & Paramétrage sur l’outil InterconnecT et sur le domaine de l’interconnexion [environ 80% de l’activité] ; Analyser les besoins métiers, préconiser les solutions appropriées ; Réaliser les études fonctionnelles ou techniques ; Participer aux implémentations d’évolutions, aux tests ; Être le référent du fonctionnement InterconnecT pour les filiales (modélisation des offres, processus métier) ; Intervenir en renfort en cas de difficultés sur la production.",Bac+5
" En tant que Concepteur Développeur PHP, vous aurez les missions suivantes : L’étude de la migration ; Le (re)développement de l’application IASO avec Symphony et Docker ; La documentation du code source ; Le transfert de compétence ; Piloter la réalisation (points de suivi avec le métier) ; Développer, tester, documenter (développements et tests), livrer à l'équipe projet puis maintenir et gérer en configuration le composant logiciel (de la conception fonctionnelle / technique à la réalisation).",Bac+5
